Plate,Brand,Model,Battery
1843 NNN,Volkswagen,Polo,67
2682 ZGH,Audi,Q5,73
4151 ZSJ,BMW,X5,62
4805 HTW,Hyundai,Tucson,41
4525 LDW,BMW,X5,73
6762 PSL,Hyundai,i30,96
5147 VWD,Renault,Captur,64
6725 PDN,Mercedes-Benz,GLC,81
0976 KBT,BMW,X5,20
6028 HPB,BMW,X5,41
8244 LXR,Audi,Q7,55
6099 CHH,Toyota,Prius,20
2558 JNB,Toyota,Yaris,25
3708 KGD,Toyota,Corolla,73
7703 NMS,Hyundai,i30,77
6323 WGK,Volkswagen,Golf,81
2316 PNN,Renault,Clio,42
4562 HWG,Hyundai,i30,58
2195 NRJ,Audi,Q7,56
7875 XGZ,Honda,Civic,53
2699 CNF,Volkswagen,Passat,42
4797 BNP,Ford,Fiesta,92
7578 JHY,Volkswagen,Polo,89
8860 DWT,BMW,i3,25
4747 NXK,Volkswagen,Polo,23
2761 WXB,Hyundai,i30,32
9720 TKS,Renault,Captur,50
4639 KHY,Renault,Megane,76
7401 HNK,Peugeot,3008,41
8183 JXC,Peugeot,308,87
6080 ZTV,Hyundai,i20,61
6918 MWD,Hyundai,i20,84
2740 RGC,Ford,Explorer,62
2118 YFK,Renault,Kadjar,23
1660 XZB,Audi,A3,97
3894 SDT,Mercedes-Benz,GLA,48
5613 WKY,Mercedes-Benz,E-Class,87
3484 FMF,Audi,A3,53
8578 VVM,Renault,Megane,63
5876 MWL,Honda,CR-V,55
5709 BFM,Peugeot,3008,35
7766 RSF,Hyundai,i30,30
9265 MHD,Honda,Accord,63
0188 YVT,BMW,M3,89
4029 YGB,Ford,Fiesta,72
2815 FXL,Ford,Mustang,47
0121 DPB,Renault,Kadjar,90
4909 TZK,Audi,A3,46
3780 XCX,Peugeot,308,31
4186 GPM,Audi,Q5,51
6845 PGF,Volkswagen,Tiguan,33
6086 CBW,BMW,X3,66
4091 GTD,BMW,X5,96
9439 HYC,Ford,Mustang,83
8780 GTF,Renault,Kadjar,80
5133 LXJ,Peugeot,308,31
2770 PGL,Mercedes-Benz,C-Class,77
4502 XSM,BMW,X5,60
1825 PSR,Audi,Q5,50
5159 NPY,Peugeot,2008,35
1735 JTY,Honda,HR-V,85
0386 FLX,Renault,Megane,67
3041 MFT,Volkswagen,Polo,71
9848 GNS,Renault,Clio,85
0594 NJR,Peugeot,208,70
3365 KYY,Volkswagen,Tiguan,92
7239 MKS,Renault,Captur,70
5748 GSX,Mercedes-Benz,GLA,35
3842 KKZ,Mercedes-Benz,GLA,66
1223 GFM,Peugeot,2008,99
5247 VLN,Renault,Megane,88
3302 GTZ,Peugeot,208,83
0519 MFR,Renault,Captur,54
2043 TPT,Hyundai,i30,22
9059 VBC,Audi,A3,96
7854 JZG,Volkswagen,Polo,42
4703 PTG,Toyota,RAV4,90
3270 KZF,Renault,Clio,46
6101 YBJ,Renault,Clio,42
6571 XGR,Honda,Accord,24
6028 ZXL,BMW,X5,37
6795 MLS,Hyundai,i30,69
0209 GZT,Ford,Mustang,41
2171 ZDC,Honda,HR-V,66
4649 HJH,Renault,Clio,68
8953 YRT,BMW,M3,84
6698 XKM,Volkswagen,Golf,43
5830 MNZ,Honda,Accord,79
7690 DKN,Honda,HR-V,98
6557 BGW,Honda,Civic,35
4680 BBC,Mercedes-Benz,E-Class,57
1045 GYK,BMW,X5,85
9400 HRX,Honda,HR-V,96
9856 FLG,BMW,X3,41
3704 RWK,Honda,Civic,99
8514 HLL,Audi,A3,89
7048 YYY,BMW,X3,22
2910 ZXN,Volkswagen,Golf,80
7358 DZN,BMW,X3,98
2966 LTL,Ford,Explorer,74
4268 MGX,Hyundai,i30,62
4155 DFX,Renault,Captur,55
7891 XXB,Audi,Q5,52
2140 SNB,Mercedes-Benz,E-Class,76
9838 THH,Renault,Kadjar,70
3168 LNC,Volkswagen,Polo,97
9150 HNB,Honda,Accord,48
1691 FHS,Audi,A3,75
9977 XZZ,Peugeot,208,65
9451 ZYD,Renault,Captur,67
2442 SBW,Mercedes-Benz,GLA,66
1863 YXH,Volkswagen,Passat,39
6597 NHY,Toyota,RAV4,66
9999 BGL,Renault,Megane,21
0564 GSX,Ford,Mustang,80
7623 TSX,Volkswagen,Polo,70
1189 BKG,Renault,Captur,80
1874 ZHJ,BMW,M3,63
4110 CHN,Peugeot,208,38
0990 ZRK,Renault,Megane,26
8487 PJW,Toyota,Prius,25
3575 DHD,Volkswagen,Tiguan,77
3365 ZDZ,Peugeot,308,37
6783 CJN,Mercedes-Benz,GLA,81
3718 CXF,Toyota,Yaris,62
3693 CSP,Hyundai,Tucson,42
4449 NLH,Hyundai,i30,43
4509 JPM,Mercedes-Benz,GLC,93
8099 HRP,Toyota,Prius,29
4362 VGM,Audi,Q5,78
4440 YPV,Toyota,RAV4,64
5846 ZTM,Renault,Clio,25
3874 LHW,BMW,i3,97
2386 YWJ,Volkswagen,Golf,55
0475 TPP,Volkswagen,Golf,76
7774 BXT,Hyundai,Tucson,21
2535 LRK,Ford,Focus,48
1517 TRG,Honda,CR-V,81
0800 FCW,Toyota,Corolla,52
2955 KYH,BMW,M3,38
4762 FDV,Renault,Megane,45
1634 RMY,Volkswagen,Passat,66
3991 MZM,Toyota,Corolla,99
4744 HMW,Audi,A3,25
6073 WDH,Ford,Fiesta,50
2263 ZPD,Renault,Captur,60
0872 FYH,Toyota,Yaris,48
0198 ZPY,Hyundai,i30,53
6792 BMC,Honda,Accord,34
2902 MBG,Mercedes-Benz,GLA,68
1097 BNM,Renault,Captur,48
4255 SYR,Hyundai,i30,25
4797 HBF,Honda,CR-V,88
7430 XKM,Peugeot,208,32
1146 MKP,Volkswagen,Passat,44
2558 NNP,Honda,Civic,29
6608 WTN,Peugeot,308,28
7913 WJY,Honda,CR-V,21
0940 WZF,Audi,A4,37
8878 MYJ,Peugeot,2008,78
8160 SDB,Peugeot,2008,44
5900 XNR,Mercedes-Benz,E-Class,38
0416 RRZ,Ford,Mustang,24
5094 CMT,Hyundai,Santa Fe,73
2863 SBT,Audi,A4,26
1152 TJT,Volkswagen,Golf,57
5398 VTJ,Ford,Mustang,72
9427 ZGM,Peugeot,2008,48
1077 CVZ,Audi,Q5,52
2078 KRT,BMW,X3,40
0819 BJM,BMW,X3,80
2800 LCV,BMW,X3,86
2653 RFR,Toyota,Yaris,56
1070 TVY,Honda,Civic,78
4518 MHB,Peugeot,3008,70
8145 SFG,Toyota,RAV4,33
3279 TJL,Volkswagen,Golf,98
0291 ZNZ,BMW,M3,71
2909 ZMZ,Hyundai,Santa Fe,79
6769 YHF,Audi,Q7,41
1464 PKH,BMW,X3,54
5155 TBW,Honda,Accord,99
7187 JPY,Ford,Fiesta,91
9368 NJL,Mercedes-Benz,C-Class,88
4777 GWP,Ford,Focus,95
6857 LXH,Ford,Focus,78
3952 TGR,BMW,i3,60
3022 MRV,Renault,Captur,56
0721 NFH,Ford,Explorer,52
1015 BKT,Honda,Civic,100
7348 WGH,BMW,X3,84
0727 XGR,Hyundai,i30,36
1485 KGM,Toyota,Corolla,23
1127 YBF,Toyota,Yaris,48
3640 YMT,Mercedes-Benz,GLA,27
2231 ZWH,Hyundai,i30,66
1557 GXB,Peugeot,3008,48
2439 DVT,Honda,CR-V,59
9760 HSF,Audi,Q5,80
8441 MNW,Volkswagen,Passat,21
0374 NTR,Renault,Clio,77
5271 XXK,Audi,Q7,73
9832 BHJ,Toyota,Prius,93
1545 NPN,Renault,Megane,86
9808 SBR,BMW,X3,86
9741 RDC,Audi,A3,21
6560 FXM,Peugeot,2008,65
7203 KYL,Audi,Q5,97
9643 RVB,Volkswagen,Polo,74
7696 GSZ,Honda,CR-V,69
1486 YGL,Audi,Q5,65
1437 MZR,Toyota,Yaris,54
1242 KBC,Audi,A4,64
7039 BLJ,BMW,M3,49
1764 JRW,Toyota,Yaris,84
6574 DJD,Volkswagen,Golf,33
7667 BBG,Audi,Q7,85
8990 YGH,Honda,HR-V,21
4206 BGS,Peugeot,208,95
9142 XNT,Hyundai,i30,74
2228 JGX,Hyundai,i30,53
2223 LJL,Hyundai,i20,91
3501 BFK,Volkswagen,Passat,62
7138 JVV,Ford,Focus,66
9764 SPS,Hyundai,i20,86
9558 LPY,Peugeot,308,90
6245 WTG,Audi,A4,49
3411 LPB,Audi,Q7,47
9881 KKB,Renault,Clio,40
9297 HBM,Volkswagen,Passat,100
0764 ZYN,Hyundai,Tucson,67
3027 PZD,Honda,CR-V,93
0414 XXF,Hyundai,Tucson,98
3594 TZY,BMW,i3,71
5802 HSF,Volkswagen,Passat,97
9054 THB,Hyundai,Santa Fe,89
5518 WDP,Renault,Clio,93
1850 MYX,Renault,Kadjar,100
5278 DKJ,Toyota,Corolla,21
5407 PFL,BMW,i3,92
7977 BKV,Renault,Megane,54
4979 ZCZ,Volkswagen,Polo,27
7028 VCT,Toyota,Yaris,82
8090 XXZ,Ford,Explorer,39
2050 KDW,Toyota,Yaris,85
7039 DYR,Renault,Kadjar,93
3737 SDS,Honda,HR-V,87
8389 NHT,Honda,Civic,67
3845 VNY,Volkswagen,Golf,28
6280 BSR,Renault,Captur,55
6794 BDW,Peugeot,3008,79
1031 PHW,Peugeot,2008,77
5804 DNM,Audi,A3,71
4435 TRT,Honda,Civic,54
9819 DYS,Peugeot,2008,47
9529 VHZ,Renault,Kadjar,38
0207 SWZ,Toyota,RAV4,51
2868 JDB,Volkswagen,Passat,68
9959 HRN,Mercedes-Benz,E-Class,89
1192 FGV,BMW,X3,32
7367 NBP,Ford,Focus,35
8584 JSD,Mercedes-Benz,GLC,23
9494 YKN,Audi,Q7,67
0433 DZX,Mercedes-Benz,GLC,56
3939 FGD,Audi,Q7,93
7324 YYS,Renault,Clio,47
6318 PFS,Volkswagen,Polo,72
8371 FZD,Audi,A4,83
3956 FMB,Toyota,RAV4,72
4143 NBP,BMW,X5,77
7291 LMH,Honda,CR-V,81
5000 LWD,Volkswagen,Polo,32
6978 DGF,Hyundai,Santa Fe,78
3343 CKB,Renault,Clio,95
1270 DZS,Volkswagen,Polo,56
5891 BFY,Hyundai,Tucson,41
8907 BLF,Peugeot,308,80
9195 ZVJ,Toyota,Corolla,41
5294 CLK,BMW,X5,77
8385 YRR,Honda,Civic,31
9195 PHC,Ford,Explorer,66
3177 VYW,Peugeot,308,32
7263 CJR,Hyundai,Santa Fe,32
2849 VST,Hyundai,i20,24
3927 DPS,Honda,Accord,22
5318 TFZ,Volkswagen,Passat,56
6921 TMX,Hyundai,i20,89
6880 BJZ,Volkswagen,Polo,27
8541 NTM,Volkswagen,Tiguan,37
1218 TDH,Toyota,Yaris,55
2687 LDZ,Honda,Accord,99
0144 KMH,Volkswagen,Passat,95
5912 ZRZ,Renault,Kadjar,88
2383 WHD,Honda,Accord,99
9848 YSH,Ford,Mustang,98
6061 YPM,Renault,Megane,80
2407 WZF,Honda,Civic,27
4405 MCV,BMW,M3,59
7234 HWN,Toyota,Corolla,29
6277 CKG,Ford,Focus,61
7549 BRK,Renault,Kadjar,25
1881 NGT,BMW,X5,24
2702 CDV,Ford,Explorer,65
4880 ZXZ,Volkswagen,Tiguan,23
2230 WSW,Renault,Captur,51
6312 ZCG,Peugeot,208,78
1563 YBM,Honda,HR-V,25
5362 XVK,Peugeot,2008,89
6361 CNK,Audi,A4,38
1688 RKJ,Volkswagen,Polo,74
0825 GDW,Audi,A4,69
4564 FKP,Ford,Explorer,93
4001 SFZ,Volkswagen,Tiguan,24
7194 GRT,Peugeot,2008,38
3363 CNM,Renault,Captur,43
0686 VPC,Renault,Kadjar,70
5453 PDH,Peugeot,308,79
5703 HBY,Honda,Civic,93
9786 NDG,Hyundai,Tucson,42
7045 GHX,Toyota,Yaris,85
5472 RFV,BMW,X3,68
9068 GFK,BMW,M3,35
3241 GGK,Volkswagen,Polo,44
8880 FVC,Volkswagen,Passat,68
7312 ZDL,Renault,Megane,73
4124 SPT,Volkswagen,Tiguan,42
4282 BCC,Audi,A3,51
3590 DMD,Hyundai,i30,69
1659 YSH,Ford,Focus,50
5167 BDS,Ford,Focus,73
7682 NZN,Toyota,Corolla,79
1609 CDT,Volkswagen,Tiguan,84
7799 BYM,BMW,M3,74
8299 FZL,Mercedes-Benz,E-Class,60
6297 TFZ,Renault,Megane,50
9273 FPF,Volkswagen,Passat,85
0626 WBZ,Mercedes-Benz,GLA,45
7625 YXN,Renault,Megane,24
7650 SCN,Honda,CR-V,90
4087 HFB,Honda,HR-V,64
2606 NBG,Mercedes-Benz,GLC,36
5120 BHY,Volkswagen,Golf,24
3759 BKF,Renault,Megane,100
9115 CPR,Volkswagen,Passat,59
1176 FYN,Hyundai,Santa Fe,73
5857 PTZ,Ford,Focus,69
7161 NKZ,Renault,Captur,65
2642 HNP,BMW,M3,90
3915 PYJ,Peugeot,2008,73
3286 DDV,Honda,Accord,59
4231 KLH,Hyundai,i20,95
2825 FDY,Ford,Fiesta,36
1100 KSR,Hyundai,Santa Fe,74
8643 TSX,Honda,HR-V,25
2205 YDW,Ford,Explorer,56
2753 FSG,Audi,A4,63
3604 HBN,Honda,CR-V,49
8326 PSZ,Audi,A4,83
0315 GLZ,Toyota,RAV4,95
9734 TWM,Peugeot,2008,40
9995 LKP,Honda,CR-V,23
2140 SZR,Audi,A3,42
5223 JNB,BMW,M3,93
7242 WXZ,Mercedes-Benz,E-Class,97
0046 PDH,Volkswagen,Passat,42
2482 THP,BMW,X5,87
7191 TVV,Toyota,Prius,87
5058 THX,Audi,Q5,94
3101 GPV,Peugeot,208,37
0873 MBL,Hyundai,Santa Fe,63
1378 YTR,Volkswagen,Golf,98
8552 MGV,Mercedes-Benz,GLC,45
8422 NFJ,Peugeot,3008,69
5614 HMZ,Ford,Focus,35
7798 LSK,BMW,i3,92
4778 HXF,Audi,A3,96
2722 GDB,Volkswagen,Golf,60
9159 XNM,Audi,Q5,74
3498 NBK,Renault,Captur,44
4811 FSB,Peugeot,308,50
2013 DLW,Peugeot,2008,63
8047 FHX,BMW,M3,48
5307 XVZ,Renault,Megane,24
2880 KBB,Hyundai,Tucson,64
7203 KCP,Renault,Megane,81
0823 CBF,Ford,Explorer,82
7414 BYN,Volkswagen,Passat,49
1453 CWY,Hyundai,Tucson,31
7417 CND,Toyota,Yaris,73
8720 ZHW,Toyota,Yaris,96
3296 ZLG,Renault,Megane,67
7615 DZC,Mercedes-Benz,GLA,20
3413 STB,Toyota,RAV4,98
4580 ZHY,Mercedes-Benz,C-Class,33
3768 RZF,Audi,A3,89
9964 BYX,Audi,A4,78
2561 YBX,Renault,Kadjar,50
4924 DNK,Volkswagen,Polo,65
0624 GYY,Hyundai,Santa Fe,62
3438 NTZ,Peugeot,3008,93
3389 MBK,Peugeot,2008,37
2149 HKH,Honda,CR-V,69
3582 RPX,BMW,M3,55
9429 CZK,Ford,Mustang,82
3842 KTW,Honda,CR-V,90
3537 FVB,Hyundai,Santa Fe,66
8105 WPB,Peugeot,3008,63
2715 GTV,Toyota,Corolla,94
0584 FVH,Renault,Megane,47
0365 NKJ,Hyundai,Tucson,45
6400 RCX,Honda,CR-V,87
2961 SMM,Peugeot,2008,94
9061 PWY,Volkswagen,Tiguan,33
0895 GJK,Volkswagen,Tiguan,74
4089 KXZ,Toyota,Yaris,90
8975 FVG,Renault,Megane,88
9393 KWP,Mercedes-Benz,GLC,64
0439 MTW,Toyota,Corolla,72
1952 GCN,Ford,Fiesta,73
4474 JDT,Hyundai,i30,62
0308 NCB,Hyundai,i20,49
4129 THN,Peugeot,3008,83
8889 FSY,Volkswagen,Passat,94
8525 JVX,Hyundai,Tucson,42
7097 WNK,BMW,X3,66
8677 FNB,Renault,Clio,54
7689 CFG,Ford,Explorer,35
7130 BCD,Audi,Q7,51
4267 ZLF,Hyundai,Santa Fe,72
6819 VSZ,BMW,X5,89
8549 DMX,Peugeot,2008,97
1348 JST,Audi,Q7,24
8969 WWT,Mercedes-Benz,GLC,52
9829 LRP,BMW,X3,30
2563 CDB,Ford,Mustang,25
2472 MFS,BMW,i3,25
7816 ZJJ,Ford,Focus,52
4063 VVV,Volkswagen,Golf,71
7193 CDX,Toyota,RAV4,58
2043 MRB,Honda,Accord,50
9582 GVV,Volkswagen,Passat,54
2193 FGT,Mercedes-Benz,C-Class,21
3802 JBZ,Mercedes-Benz,GLC,76
4634 TFT,Peugeot,2008,90
0152 SYF,Mercedes-Benz,GLA,95
0899 DFH,Volkswagen,Golf,43
8522 YMK,Hyundai,Santa Fe,65
5423 GFL,Ford,Fiesta,59
1365 RZN,Renault,Captur,35
8547 RTR,Volkswagen,Tiguan,24
0069 CYC,BMW,X5,84
1444 NLY,Ford,Mustang,55
5162 XTM,Mercedes-Benz,E-Class,89
7381 ZJF,Audi,A3,99
8182 BCX,Peugeot,308,40
8453 HYH,Renault,Captur,36
7465 CMC,Toyota,Corolla,57
9065 XCJ,Ford,Focus,69
4548 DSY,Honda,HR-V,100
0650 MSX,Ford,Fiesta,42
0871 BSR,Mercedes-Benz,E-Class,35
7853 KLC,Honda,Civic,59
1838 XMB,Toyota,Prius,45
9978 FKZ,Honda,Civic,56
6961 BYN,Audi,Q5,65
6351 HZZ,Audi,Q7,43
7320 LKY,Audi,Q7,65
3299 ZFV,Volkswagen,Golf,98
5113 RVF,Mercedes-Benz,GLC,82
7524 BKZ,Honda,Accord,24
0334 MLB,Ford,Explorer,91
9615 PJS,Ford,Fiesta,33
8417 HJJ,Volkswagen,Passat,60
4523 CLF,Hyundai,Tucson,41
4697 TXX,Volkswagen,Tiguan,60
7780 STD,Ford,Fiesta,21
5677 BBS,Mercedes-Benz,GLC,39
6190 BNZ,Audi,Q7,94
4832 PGK,Hyundai,Santa Fe,55
2637 BFY,Toyota,Prius,85
8246 FNP,Toyota,Yaris,55
6504 YGX,Renault,Kadjar,35
1861 VFX,Audi,Q5,90
9204 JMF,Renault,Kadjar,44
3178 WHP,Honda,Civic,67
3289 ZSP,Hyundai,Tucson,99
3094 JCW,Renault,Kadjar,98
9717 KHG,BMW,X3,90
7226 NMZ,Ford,Fiesta,24
8558 KNK,Toyota,Yaris,34
3926 JKW,Renault,Kadjar,29
0268 MXK,BMW,i3,85
9273 SRX,Toyota,Yaris,20
9025 FCP,Mercedes-Benz,E-Class,30
5108 CDK,Hyundai,Santa Fe,38
7931 RXV,Hyundai,i20,25
7199 TMF,Mercedes-Benz,E-Class,88
1893 VBH,Renault,Clio,39
0724 DXM,BMW,X3,26
3179 MCJ,Ford,Focus,55
9547 NYT,Audi,Q5,65
6084 KLK,Renault,Clio,55
3606 SKM,Mercedes-Benz,GLA,80
1380 MLL,Renault,Kadjar,67
8433 MTY,Mercedes-Benz,GLA,71
3443 ZRT,Hyundai,Santa Fe,54
8877 CFS,Volkswagen,Tiguan,30
8387 YVW,Ford,Mustang,78
1624 JVR,Honda,CR-V,73
1390 JZJ,Mercedes-Benz,GLC,57
8875 HLX,Hyundai,i30,55
7354 WVZ,Ford,Explorer,75
7156 BBL,Toyota,RAV4,83
8070 YYM,BMW,M3,84
0811 TBT,Audi,Q5,69
0225 MRD,Audi,Q5,26
5166 LVM,Volkswagen,Tiguan,23
5334 MMW,Renault,Kadjar,72
6744 HLY,Ford,Focus,90
9553 MWL,BMW,M3,61
7532 PJL,Ford,Explorer,40
0775 RKJ,BMW,i3,84
6215 DCX,Hyundai,Santa Fe,60
6870 BGG,Honda,CR-V,34
7630 CWZ,BMW,M3,46
1573 NGN,Audi,A4,84
8403 MXM,Peugeot,208,78
8927 XNS,Honda,HR-V,43
3184 YRM,Honda,CR-V,79
2012 CTZ,Hyundai,Tucson,31
8910 XGM,BMW,X3,81
5274 BRL,Toyota,Corolla,20
9238 VDR,Honda,HR-V,86
6211 KSZ,Audi,A4,79
3009 WCF,Renault,Captur,68
2664 YGM,Honda,HR-V,89
4942 LVS,Honda,Civic,91
7173 YGT,Honda,Civic,42
6852 BMB,Audi,Q5,98
